1、四则运算题目1: 76-34+13=
8244、四则运算题目8244: 14+66-65=
8245、四则运算题目8245: 48+36=
8246、四则运算题目8246: 98+42+25=
8247、四则运算题目8247: 6-5+66=
8248、四则运算题目8248: 26-10+71=
8249、四则运算题目8249: 81-57=
8250、四则运算题目8250: 71-27+76=
8251、四则运算题目8251: 23-17-5=
8252、四则运算题目8252: 12+46=
8253、四则运算题目8253: 89-45-9=
8254、四则运算题目8254: 94+30+92=
8255、四则运算题目8255: 54+18=
8256、四则运算题目8256: 65-12=
8257、四则运算题目8257: 21-14=
8258、四则运算题目8258: 73-35=
8259、四则运算题目8259: 72+1=
8260、四则运算题目8260: 98+81+29=
8261、四则运算题目8261: 39+40=
8262、四则运算题目8262: 94-7-4=
8263、四则运算题目8263: 49+87+11=
8264、四则运算题目8264: 74-56=
8265、四则运算题目8265: 4+98+20=
8266、四则运算题目8266: 12-4=
8267、四则运算题目8267: 29-25=
8268、四则运算题目8268: 36+47+8=
8269、四则运算题目8269: 86+81=
8270、四则运算题目8270: 72+22-19=
8271、四则运算题目8271: 93-64+77=
8272、四则运算题目8272: 15-0=
8273、四则运算题目8273: 38-34+13=
8274、四则运算题目8274: 33+88+11=
8275、四则运算题目8275: 56+9=
8276、四则运算题目8276: 87-56=
8277、四则运算题目8277: 38+45-6=
8278、四则运算题目8278: 59+58+50=
8279、四则运算题目8279: 8-1-4=
8280、四则运算题目8280: 92+57=
8281、四则运算题目8281: 68+29=
8282、四则运算题目8282: 27-23=
8283、四则运算题目8283: 54-23-16=
8284、四则运算题目8284: 8+74=
8285、四则运算题目8285: 73+47=
8286、四则运算题目8286: 10+49=
8287、四则运算题目8287: 93+44=
8288、四则运算题目8288: 9-6=
8289、四则运算题目8289: 0+49=
8290、四则运算题目8290: 13-3-10=
8291、四则运算题目8291: 42-41=
8292、四则运算题目8292: 13+46-8=
8293、四则运算题目8293: 25-6-15=
8294、四则运算题目8294: 38-11-0=
8295、四则运算题目8295: 78+18=
8296、四则运算题目8296: 68-46=
8297、四则运算题目8297: 93+4-80=
8298、四则运算题目8298: 13+55+58=
8299、四则运算题目8299: 56-10=
8300、四则运算题目8300: 70-42+14=
8301、四则运算题目8301: 12+52=
8302、四则运算题目8302: 11+58+51=
8303、四则运算题目8303: 98-89=
8304、四则运算题目8304: 28-11=
8305、四则运算题目8305: 57-28-5=
8306、四则运算题目8306: 62-4-13=
8307、四则运算题目8307: 26-8-9=
8308、四则运算题目8308: 20-15=
8309、四则运算题目8309: 72+32=
8310、四则运算题目8310: 70+77=
8311、四则运算题目8311: 72+43=
8312、四则运算题目8312: 76-68=
8313、四则运算题目8313: 19-16=
8314、四则运算题目8314: 26+53-49=
8315、四则运算题目8315: 16-5=
8316、四则运算题目8316: 40-10=
8317、四则运算题目8317: 41-35+45=
8318、四则运算题目8318: 32+58=
8319、四则运算题目8319: 74-28+86=
8320、四则运算题目8320: 14+1=
8321、四则运算题目8321: 5+56+15=
8322、四则运算题目8322: 19-18=
8323、四则运算题目8323: 52-41-7=
8324、四则运算题目8324: 90-90+7=
8325、四则运算题目8325: 39-3+53=
8326、四则运算题目8326: 20+83=
8327、四则运算题目8327: 23-11=
8328、四则运算题目8328: 67-44-16=
8329、四则运算题目8329: 55+21+16=
8330、四则运算题目8330: 49+37-66=
8331、四则运算题目8331: 92-14=
8332、四则运算题目8332: 8-2=
8333、四则运算题目8333: 34+62+97=
8334、四则运算题目8334: 4+77+95=
8335、四则运算题目8335: 90-32-41=
8336、四则运算题目8336: 34-4+84=
8337、四则运算题目8337: 52+8-24=
8338、四则运算题目8338: 74-7+88=
8339、四则运算题目8339: 31-0-10=
8340、四则运算题目8340: 52-16=
8341、四则运算题目8341: 47-16=
8342、四则运算题目8342: 61-58+82=
8343、四则运算题目8343: 40+51=
8344、四则运算题目8344: 81-52=
8345、四则运算题目8345: 11+37+98=
8346、四则运算题目8346: 36-33+51=
8347、四则运算题目8347: 82+11+32=
8348、四则运算题目8348: 42-13+33=
8349、四则运算题目8349: 88-53=
8350、四则运算题目8350: 3+68-51=
8351、四则运算题目8351: 91+89-29=
8352、四则运算题目8352: 55+69+87=
8353、四则运算题目8353: 61-7=
8354、四则运算题目8354: 8-2-1=
8355、四则运算题目8355: 86-71=
8356、四则运算题目8356: 53+15=
8357、四则运算题目8357: 0+9=
8358、四则运算题目8358: 69-22+14=
8359、四则运算题目8359: 98-83-12=
8360、四则运算题目8360: 99-28=
8361、四则运算题目8361: 48-46-0=
8362、四则运算题目8362: 8-6=
8363、四则运算题目8363: 76-63=
8364、四则运算题目8364: 12+87=
8365、四则运算题目8365: 38-14-16=
8366、四则运算题目8366: 89-42=
8367、四则运算题目8367: 93+58=
8368、四则运算题目8368: 17-13=
8369、四则运算题目8369: 5-5+42=
8370、四则运算题目8370: 76-35+30=
8371、四则运算题目8371: 47+92+30=
8372、四则运算题目8372: 90-53=
8373、四则运算题目8373: 36-2-25=
8374、四则运算题目8374: 39-36-0=
8375、四则运算题目8375: 27+67=
8376、四则运算题目8376: 67+21=
8377、四则运算题目8377: 4-4-0=
8378、四则运算题目8378: 90+84+55=
8379、四则运算题目8379: 85+21-3=
8380、四则运算题目8380: 2-2=
8381、四则运算题目8381: 65+16=
8382、四则运算题目8382: 0+56-3=
8383、四则运算题目8383: 57+0-48=
8384、四则运算题目8384: 69+95=
8385、四则运算题目8385: 40+63-32=
8386、四则运算题目8386: 3-1+76=
8387、四则运算题目8387: 50-3+65=
8388、四则运算题目8388: 41+89+32=
8389、四则运算题目8389: 69-49=
8390、四则运算题目8390: 20+64=
8391、四则运算题目8391: 51-51=
8392、四则运算题目8392: 15-0=
8393、四则运算题目8393: 9+10=
8394、四则运算题目8394: 21+79=
8395、四则运算题目8395: 68-43-22=
8396、四则运算题目8396: 67-36=
8397、四则运算题目8397: 16+82=
8398、四则运算题目8398: 53-6=
8399、四则运算题目8399: 48+12=
8400、四则运算题目8400: 87+60=
8401、四则运算题目8401: 34-27+31=
8402、四则运算题目8402: 87-32=
8403、四则运算题目8403: 40-7-5=
8404、四则运算题目8404: 27-19=
8405、四则运算题目8405: 41+81=
8406、四则运算题目8406: 74-2+34=
8407、四则运算题目8407: 35-29=
8408、四则运算题目8408: 59-37+38=
8409、四则运算题目8409: 63+38=
8410、四则运算题目8410: 74-30=
8411、四则运算题目8411: 21-13+7=
8412、四则运算题目8412: 89+20=
8413、四则运算题目8413: 96-62-33=
8414、四则运算题目8414: 0-0+21=
8415、四则运算题目8415: 73+96+59=
8416、四则运算题目8416: 27-2+97=
8417、四则运算题目8417: 57+85-45=
8418、四则运算题目8418: 33+53-41=
8419、四则运算题目8419: 95-6+47=
8420、四则运算题目8420: 29-1-23=
8421、四则运算题目8421: 89-39-43=
8422、四则运算题目8422: 84+15=
8423、四则运算题目8423: 97+44=
8424、四则运算题目8424: 11+43=
8425、四则运算题目8425: 96-74=
8426、四则运算题目8426: 15-1+62=
8427、四则运算题目8427: 55-4=
8428、四则运算题目8428: 97+92+28=
8429、四则运算题目8429: 25+3=
8430、四则运算题目8430: 26-25=
8431、四则运算题目8431: 86+86=
8432、四则运算题目8432: 20-1+11=
8433、四则运算题目8433: 17-3-2=
8434、四则运算题目8434: 59+86=
8435、四则运算题目8435: 27-4-5=
8436、四则运算题目8436: 39+91=
8437、四则运算题目8437: 1-0+30=
8438、四则运算题目8438: 65+90+2=
8439、四则运算题目8439: 45+86=
8440、四则运算题目8440: 32-20=
8441、四则运算题目8441: 74-10=
8442、四则运算题目8442: 41-34-6=
8443、四则运算题目8443: 82-3=
8444、四则运算题目8444: 49-6+7=
8445、四则运算题目8445: 92-90-2=
8446、四则运算题目8446: 22-8-7=
8447、四则运算题目8447: 33-33+91=
8448、四则运算题目8448: 95+78-95=
8449、四则运算题目8449: 92-61-8=
8450、四则运算题目8450: 22+47=
8451、四则运算题目8451: 26-1=
8452、四则运算题目8452: 76+51=
8453、四则运算题目8453: 94+16-56=
8454、四则运算题目8454: 91-90=
8455、四则运算题目8455: 3-3=
8456、四则运算题目8456: 16+52+15=
8457、四则运算题目8457: 80-58-8=
8458、四则运算题目8458: 89-62+12=
8459、四则运算题目8459: 19+66-18=
8460、四则运算题目8460: 35-0=
8461、四则运算题目8461: 85-5=
8462、四则运算题目8462: 48-26-9=
8463、四则运算题目8463: 14-9-1=
8464、四则运算题目8464: 17+71=
8465、四则运算题目8465: 16-14+2=
8466、四则运算题目8466: 38+66=
8467、四则运算题目8467: 63+11+15=
8468、四则运算题目8468: 46+95-21=
8469、四则运算题目8469: 88-16+35=
8470、四则运算题目8470: 49+24+78=
8471、四则运算题目8471: 16+41-23=
8472、四则运算题目8472: 59-57=
8473、四则运算题目8473: 34+20+6=
8474、四则运算题目8474: 42-0+81=
8475、四则运算题目8475: 81-9-17=
8476、四则运算题目8476: 56+16=
8477、四则运算题目8477: 26-20=
8478、四则运算题目8478: 90-22=
8479、四则运算题目8479: 46-35=
8480、四则运算题目8480: 45-42-0=
8481、四则运算题目8481: 7-2+48=
8482、四则运算题目8482: 29+96+98=
8483、四则运算题目8483: 61-48-3=
8484、四则运算题目8484: 5+42=
8485、四则运算题目8485: 44-6-5=
8486、四则运算题目8486: 6+61+21=
8487、四则运算题目8487: 11-7+62=
8488、四则运算题目8488: 3+83-1=
8489、四则运算题目8489: 49-18-25=
8490、四则运算题目8490: 52-51+39=
8491、四则运算题目8491: 77-49=
8492、四则运算题目8492: 9-3=
8493、四则运算题目8493: 64-24+64=
8494、四则运算题目8494: 99-97+78=
8495、四则运算题目8495: 60+42=
8496、四则运算题目8496: 80-11=
8497、四则运算题目8497: 0-0=
8498、四则运算题目8498: 88+81=
8499、四则运算题目8499: 63+17=
8500、四则运算题目8500: 8+73+91=
8501、四则运算题目8501: 91-78=
8502、四则运算题目8502: 70+20=
8503、四则运算题目8503: 10+65-27=
8504、四则运算题目8504: 63-25+64=
8505、四则运算题目8505: 17-13-2=
8506、四则运算题目8506: 29+39-48=
8507、四则运算题目8507: 79-6+10=
8508、四则运算题目8508: 85-19+94=
8509、四则运算题目8509: 51+47=
8510、四则运算题目8510: 39-25=
8511、四则运算题目8511: 56-20=
8512、四则运算题目8512: 94-25=
8513、四则运算题目8513: 73+8=
8514、四则运算题目8514: 62-16=
8515、四则运算题目8515: 14-14-0=
8516、四则运算题目8516: 88-76=
8517、四则运算题目8517: 55-7-6=
8518、四则运算题目8518: 69+8=
8519、四则运算题目8519: 20-1+25=
8520、四则运算题目8520: 91-53+45=
8521、四则运算题目8521: 44-27=
8522、四则运算题目8522: 80-80-0=
8523、四则运算题目8523: 59-36=
8524、四则运算题目8524: 41-40=
8525、四则运算题目8525: 89+45+5=
8526、四则运算题目8526: 45-8-35=
8527、四则运算题目8527: 41+21=
8528、四则运算题目8528: 29+78+93=
8529、四则运算题目8529: 58-29-5=
8530、四则运算题目8530: 7+83+9=
8531、四则运算题目8531: 92-18+9=
8532、四则运算题目8532: 61-40+33=
8533、四则运算题目8533: 55+79+8=
8534、四则运算题目8534: 11-6=
8535、四则运算题目8535: 38-18-18=
8536、四则运算题目8536: 4-0=
8537、四则运算题目8537: 83-42-19=
8538、四则运算题目8538: 22-19+29=
8539、四则运算题目8539: 37+40-77=
8540、四则运算题目8540: 92+57=
8541、四则运算题目8541: 22-7-4=
8542、四则运算题目8542: 47-43+71=
8543、四则运算题目8543: 77+51+72=
8544、四则运算题目8544: 22-4=
8545、四则运算题目8545: 71+48+27=
8546、四则运算题目8546: 88-34+96=
8547、四则运算题目8547: 51-38=
8548、四则运算题目8548: 83+8=
8549、四则运算题目8549: 0+86=
8550、四则运算题目8550: 19-9=
8551、四则运算题目8551: 22+97=
8552、四则运算题目8552: 62-25=
8553、四则运算题目8553: 60+38=
8554、四则运算题目8554: 85-26=
8555、四则运算题目8555: 88-9-66=
8556、四则运算题目8556: 48-9-25=
8557、四则运算题目8557: 49-15=
8558、四则运算题目8558: 48+26=
8559、四则运算题目8559: 42+97=
8560、四则运算题目8560: 0-0+31=
8561、四则运算题目8561: 58+18-8=
8562、四则运算题目8562: 53+19=
8563、四则运算题目8563: 43-18=
8564、四则运算题目8564: 87-56-30=
8565、四则运算题目8565: 92-14+26=
8566、四则运算题目8566: 64+33=
8567、四则运算题目8567: 14+67-76=
8568、四则运算题目8568: 91+27=
8569、四则运算题目8569: 46+98=
8570、四则运算题目8570: 31-17+18=
8571、四则运算题目8571: 8+80=
8572、四则运算题目8572: 63+63=
8573、四则运算题目8573: 47-42-1=
8574、四则运算题目8574: 66-16=
8575、四则运算题目8575: 96+29+74=
8576、四则运算题目8576: 44-31-0=
8577、四则运算题目8577: 49-15+38=
8578、四则运算题目8578: 0+75=
8579、四则运算题目8579: 81-19=
8580、四则运算题目8580: 2+58+92=
8581、四则运算题目8581: 7-7+24=
8582、四则运算题目8582: 34+62+18=
8583、四则运算题目8583: 91+11-9=
8584、四则运算题目8584: 59+6-9=
8585、四则运算题目8585: 35+20+40=
8586、四则运算题目8586: 12+6=
8587、四则运算题目8587: 41-37=
8588、四则运算题目8588: 4-0+29=
8589、四则运算题目8589: 7-3=
8590、四则运算题目8590: 35-15=
8591、四则运算题目8591: 0+64=
8592、四则运算题目8592: 75-18-52=
8593、四则运算题目8593: 4+73=
8594、四则运算题目8594: 49+74=
8595、四则运算题目8595: 97+84=
8596、四则运算题目8596: 88+10+62=
8597、四则运算题目8597: 74+85-85=
8598、四则运算题目8598: 69+70=
8599、四则运算题目8599: 81+82=
8600、四则运算题目8600: 6+68-42=
8601、四则运算题目8601: 13-13=
8602、四则运算题目8602: 15+49-39=
8603、四则运算题目8603: 59+57-21=
8604、四则运算题目8604: 91+15=
8605、四则运算题目8605: 19-14=
8606、四则运算题目8606: 8+39=
8607、四则运算题目8607: 6-1-0=
8608、四则运算题目8608: 35-2=
8609、四则运算题目8609: 66-55+44=
8610、四则运算题目8610: 94-44=
8611、四则运算题目8611: 52+23-35=
8612、四则运算题目8612: 87-73=
8613、四则运算题目8613: 54+47+79=
8614、四则运算题目8614: 62+73+50=
8615、四则运算题目8615: 83-14=
8616、四则运算题目8616: 16-12+71=
8617、四则运算题目8617: 65+18+52=
8618、四则运算题目8618: 38+76=
8619、四则运算题目8619: 99+97=
8620、四则运算题目8620: 35+52=
8621、四则运算题目8621: 34-31=
8622、四则运算题目8622: 89+23=
8623、四则运算题目8623: 22+46+50=
8624、四则运算题目8624: 73+94-82=
8625、四则运算题目8625: 46-27=
8626、四则运算题目8626: 34+58=
8627、四则运算题目8627: 24-24+83=
8628、四则运算题目8628: 58-43=
8629、四则运算题目8629: 14-10-0=
8630、四则运算题目8630: 26-19+86=
8631、四则运算题目8631: 79+95=
8632、四则运算题目8632: 79-36+78=
8633、四则运算题目8633: 51-10=
8634、四则运算题目8634: 0+36-36=
8635、四则运算题目8635: 51+99-95=
8636、四则运算题目8636: 88-2=
8637、四则运算题目8637: 92+8=
8638、四则运算题目8638: 44-24+1=
8639、四则运算题目8639: 8+77-42=
8640、四则运算题目8640: 27-9-16=
8641、四则运算题目8641: 76-71=
8642、四则运算题目8642: 34-25=
8643、四则运算题目8643: 91-23-36=
8644、四则运算题目8644: 29-25+5=
8645、四则运算题目8645: 75-29+44=
8646、四则运算题目8646: 63+47=
8647、四则运算题目8647: 15-15-0=
8648、四则运算题目8648: 82-71-5=
8649、四则运算题目8649: 92+69=
8650、四则运算题目8650: 40+45=
8651、四则运算题目8651: 21-15=
8652、四则运算题目8652: 59+10+52=
8653、四则运算题目8653: 52+5-29=
8654、四则运算题目8654: 5-3=
8655、四则运算题目8655: 69+38-3=
8656、四则运算题目8656: 0+70-63=
8657、四则运算题目8657: 54+78-45=
8658、四则运算题目8658: 41-23=
8659、四则运算题目8659: 16-16=
8660、四则运算题目8660: 67-44=
8661、四则运算题目8661: 36+85=
8662、四则运算题目8662: 77+20+34=
8663、四则运算题目8663: 16-12=
8664、四则运算题目8664: 59+83=
8665、四则运算题目8665: 34-30+26=
8666、四则运算题目8666: 32-2=
8667、四则运算题目8667: 93-33+15=
8668、四则运算题目8668: 63-22=
8669、四则运算题目8669: 83-26=
8670、四则运算题目8670: 63-46-12=
8671、四则运算题目8671: 81+19=
8672、四则运算题目8672: 95+71=
8673、四则运算题目8673: 41-34=
8674、四则运算题目8674: 20+31=
8675、四则运算题目8675: 71+45=
8676、四则运算题目8676: 0+49-37=
8677、四则运算题目8677: 9-2+37=
8678、四则运算题目8678: 30-29=
8679、四则运算题目8679: 3-1=
8680、四则运算题目8680: 38+41+60=
8681、四则运算题目8681: 46-16=
8682、四则运算题目8682: 7+60=
8683、四则运算题目8683: 43+91-86=
8684、四则运算题目8684: 49-10=
8685、四则运算题目8685: 60-3+44=
8686、四则运算题目8686: 37-31=
8687、四则运算题目8687: 17-8+22=
8688、四则运算题目8688: 58+58=
8689、四则运算题目8689: 90-65-0=
8690、四则运算题目8690: 54-10-32=
8691、四则运算题目8691: 57+11=
8692、四则运算题目8692: 18-2=
8693、四则运算题目8693: 74+41=
8694、四则运算题目8694: 97-67=
8695、四则运算题目8695: 4-1-2=
8696、四则运算题目8696: 99-76-1=
8697、四则运算题目8697: 33+47=
8698、四则运算题目8698: 63+30-3=
8699、四则运算题目8699: 91-48=
8700、四则运算题目8700: 74-67=
8701、四则运算题目8701: 6+21=
8702、四则运算题目8702: 11-8=
8703、四则运算题目8703: 37+32+65=
8704、四则运算题目8704: 79+52+38=
8705、四则运算题目8705: 10+55=
8706、四则运算题目8706: 67-28=
8707、四则运算题目8707: 79+26=
8708、四则运算题目8708: 58+68=
8709、四则运算题目8709: 83+23=
8710、四则运算题目8710: 27-2=
8711、四则运算题目8711: 33+30=
8712、四则运算题目8712: 93+18=
8713、四则运算题目8713: 20+9=
8714、四则运算题目8714: 23-2=
8715、四则运算题目8715: 64-25+39=
8716、四则运算题目8716: 25-24+36=
8717、四则运算题目8717: 57-43+44=
8718、四则运算题目8718: 75+56+54=
8719、四则运算题目8719: 89-52=
8720、四则运算题目8720: 80+22-14=
8721、四则运算题目8721: 83+35+45=
8722、四则运算题目8722: 82-31+44=
8723、四则运算题目8723: 14-8=
8724、四则运算题目8724: 60-40-16=
8725、四则运算题目8725: 9+34=
8726、四则运算题目8726: 45+0=
8727、四则运算题目8727: 71+48=
8728、四则运算题目8728: 49+85=
8729、四则运算题目8729: 0-0=
8730、四则运算题目8730: 46+59=
8731、四则运算题目8731: 29-23-3=
8732、四则运算题目8732: 63+42=
8733、四则运算题目8733: 34-20=
8734、四则运算题目8734: 65-21=
8735、四则运算题目8735: 59+50=
8736、四则运算题目8736: 85+38-33=
8737、四则运算题目8737: 35+31+72=
8738、四则运算题目8738: 3-1-0=
8739、四则运算题目8739: 32-32=
8740、四则运算题目8740: 9+31+88=
8741、四则运算题目8741: 58+50-77=
8742、四则运算题目8742: 72+1=
8743、四则运算题目8743: 59-32-13=
8744、四则运算题目8744: 42+65=
8745、四则运算题目8745: 22-13=
8746、四则运算题目8746: 5+39=
8747、四则运算题目8747: 52-6-13=
8748、四则运算题目8748: 74+10+51=
8749、四则运算题目8749: 47+86=
8750、四则运算题目8750: 67-21=
8751、四则运算题目8751: 12-10+68=
8752、四则运算题目8752: 99-66-0=
8753、四则运算题目8753: 46+26=
8754、四则运算题目8754: 3+60=
8755、四则运算题目8755: 97-40+42=
8756、四则运算题目8756: 10-7=
8757、四则运算题目8757: 98-4=
8758、四则运算题目8758: 78+50+70=
8759、四则运算题目8759: 72+48+26=
8760、四则运算题目8760: 94-2-82=
8761、四则运算题目8761: 13+62=
8762、四则运算题目8762: 51+61-61=
8763、四则运算题目8763: 36+49+76=
8764、四则运算题目8764: 52-50=
8765、四则运算题目8765: 74-3+15=
8766、四则运算题目8766: 8-4=
8767、四则运算题目8767: 75-3+46=
8768、四则运算题目8768: 35+75=
8769、四则运算题目8769: 37-15=
8770、四则运算题目8770: 56-21=
8771、四则运算题目8771: 46-14-32=
8772、四则运算题目8772: 14-6=
8773、四则运算题目8773: 19+58-14=
8774、四则运算题目8774: 28+46=
8775、四则运算题目8775: 28+52-55=
8776、四则运算题目8776: 10+91=
8777、四则运算题目8777: 6+66-6=
8778、四则运算题目8778: 39+10=
8779、四则运算题目8779: 28+36+67=
8780、四则运算题目8780: 27-10-3=
8781、四则运算题目8781: 31-3=
8782、四则运算题目8782: 66+12+2=
8783、四则运算题目8783: 6+44=
8784、四则运算题目8784: 70+48=
8785、四则运算题目8785: 78+6+65=
8786、四则运算题目8786: 4+24-5=
8787、四则运算题目8787: 49+46=
8788、四则运算题目8788: 6-3-0=
8789、四则运算题目8789: 19-16=
8790、四则运算题目8790: 74-61+69=
8791、四则运算题目8791: 7+29=
8792、四则运算题目8792: 80+60=
8793、四则运算题目8793: 85-31=
8794、四则运算题目8794: 41+9+26=
8795、四则运算题目8795: 25+51-0=
8796、四则运算题目8796: 92+17=
8797、四则运算题目8797: 6+1=
8798、四则运算题目8798: 41+11=
8799、四则运算题目8799: 0-0+5=
8800、四则运算题目8800: 12+14=
8801、四则运算题目8801: 37+83=
8802、四则运算题目8802: 10-6=
8803、四则运算题目8803: 56-25=
8804、四则运算题目8804: 17-3=
8805、四则运算题目8805: 12+1+64=
8806、四则运算题目8806: 40+31=
8807、四则运算题目8807: 30-15=
8808、四则运算题目8808: 11+12=
8809、四则运算题目8809: 11-6-1=
8810、四则运算题目8810: 42+56=
8811、四则运算题目8811: 6+12+20=
8812、四则运算题目8812: 69-60=
8813、四则运算题目8813: 52-24=
8814、四则运算题目8814: 79+86-75=
8815、四则运算题目8815: 46+63-25=
8816、四则运算题目8816: 45+18+99=
8817、四则运算题目8817: 62+72=
8818、四则运算题目8818: 62+27-13=
8819、四则运算题目8819: 30+17-16=
8820、四则运算题目8820: 25+21+20=
8821、四则运算题目8821: 68-13=
8822、四则运算题目8822: 88-67-4=
8823、四则运算题目8823: 29-6-2=
8824、四则运算题目8824: 23+84-22=
8825、四则运算题目8825: 77+80-89=
8826、四则运算题目8826: 95-46-36=
8827、四则运算题目8827: 17+7=
8828、四则运算题目8828: 30+99=
8829、四则运算题目8829: 55+41=
8830、四则运算题目8830: 91+37-69=
8831、四则运算题目8831: 87+67-52=
8832、四则运算题目8832: 18-15=
8833、四则运算题目8833: 10-8=
8834、四则运算题目8834: 99-48-31=
8835、四则运算题目8835: 26-19+47=
8836、四则运算题目8836: 82-69=
8837、四则运算题目8837: 68-66-0=
8838、四则运算题目8838: 25+21=
8839、四则运算题目8839: 3+57=
8840、四则运算题目8840: 63-23-7=
8841、四则运算题目8841: 85-27-41=
8842、四则运算题目8842: 33-28=
8843、四则运算题目8843: 65+12+15=
8844、四则运算题目8844: 5-1+73=
8845、四则运算题目8845: 67+40=
8846、四则运算题目8846: 51+80=
8847、四则运算题目8847: 53-14-19=
8848、四则运算题目8848: 80+55=
8849、四则运算题目8849: 32-18+98=
8850、四则运算题目8850: 37-4+82=
8851、四则运算题目8851: 60+18=
8852、四则运算题目8852: 0-0+57=
8853、四则运算题目8853: 56-3+44=
8854、四则运算题目8854: 68-63-1=
8855、四则运算题目8855: 40-26+7=
8856、四则运算题目8856: 14+53=
8857、四则运算题目8857: 68-37=
8858、四则运算题目8858: 17+11=
8859、四则运算题目8859: 21-12=
8860、四则运算题目8860: 78-36=
8861、四则运算题目8861: 94+83=
8862、四则运算题目8862: 35-0=
8863、四则运算题目8863: 25-25=
8864、四则运算题目8864: 70+80=
8865、四则运算题目8865: 61-21=
8866、四则运算题目8866: 44+85+21=
8867、四则运算题目8867: 19-19=
8868、四则运算题目8868: 29-16+95=
8869、四则运算题目8869: 52+75=
8870、四则运算题目8870: 55+8+38=
8871、四则运算题目8871: 90-59-15=
8872、四则运算题目8872: 46-31-15=
8873、四则运算题目8873: 91+71=
8874、四则运算题目8874: 73+81=
8875、四则运算题目8875: 32-19+5=
8876、四则运算题目8876: 41-29=
8877、四则运算题目8877: 33-25-5=
8878、四则运算题目8878: 63-45=
8879、四则运算题目8879: 13-13+68=
8880、四则运算题目8880: 8+82-31=
8881、四则运算题目8881: 24-20=
8882、四则运算题目8882: 95-17=
8883、四则运算题目8883: 48+36-14=
8884、四则运算题目8884: 16+86=
8885、四则运算题目8885: 51+69+7=
8886、四则运算题目8886: 7+10=
8887、四则运算题目8887: 90+82-91=
8888、四则运算题目8888: 69+1=
8889、四则运算题目8889: 28+41=
8890、四则运算题目8890: 64+95=
8891、四则运算题目8891: 60-2=
8892、四则运算题目8892: 74+95+31=
8893、四则运算题目8893: 16-10+42=
8894、四则运算题目8894: 74+40+55=
8895、四则运算题目8895: 85-29+87=
8896、四则运算题目8896: 57-6=
8897、四则运算题目8897: 81-35=
8898、四则运算题目8898: 7+62=
8899、四则运算题目8899: 13+38=
8900、四则运算题目8900: 3+54-37=
8901、四则运算题目8901: 32+83=
8902、四则运算题目8902: 89+78=
8903、四则运算题目8903: 18-15=
8904、四则运算题目8904: 2-0=
8905、四则运算题目8905: 21-1-18=
8906、四则运算题目8906: 32-25-3=
8907、四则运算题目8907: 49+0=
8908、四则运算题目8908: 8-7=
8909、四则运算题目8909: 30-12-6=
8910、四则运算题目8910: 9+11-6=
8911、四则运算题目8911: 94-26=
8912、四则运算题目8912: 58+17=
8913、四则运算题目8913: 20-12=
8914、四则运算题目8914: 34-11=
8915、四则运算题目8915: 72+90-46=
8916、四则运算题目8916: 63+34=
8917、四则运算题目8917: 85+66-70=
8918、四则运算题目8918: 78-36=
8919、四则运算题目8919: 47+57+18=
8920、四则运算题目8920: 54-12+72=
8921、四则运算题目8921: 7-2=
8922、四则运算题目8922: 23+63+54=
8923、四则运算题目8923: 26+64+46=
8924、四则运算题目8924: 69+84=
8925、四则运算题目8925: 32+45=
8926、四则运算题目8926: 25-25=
8927、四则运算题目8927: 99+39=
8928、四则运算题目8928: 78-25+81=
8929、四则运算题目8929: 5-1=
8930、四则运算题目8930: 59-18+40=
8931、四则运算题目8931: 21+28-11=
8932、四则运算题目8932: 92+89+50=
8933、四则运算题目8933: 47+89-9=
8934、四则运算题目8934: 63+15=
8935、四则运算题目8935: 87-12=
8936、四则运算题目8936: 97+81+93=
8937、四则运算题目8937: 82+18-42=
8938、四则运算题目8938: 7-4=
8939、四则运算题目8939: 33+58-3=
8940、四则运算题目8940: 65+36+10=
8941、四则运算题目8941: 30+16-6=
8942、四则运算题目8942: 48-12-7=
8943、四则运算题目8943: 67+79-6=
8944、四则运算题目8944: 36-20-7=
8945、四则运算题目8945: 82-27=
8946、四则运算题目8946: 68+60-60=
8947、四则运算题目8947: 50+52-81=
8948、四则运算题目8948: 70-13=
8949、四则运算题目8949: 5+90-46=
8950、四则运算题目8950: 28-3=
8951、四则运算题目8951: 39-13-19=
8952、四则运算题目8952: 58+82=
8953、四则运算题目8953: 42-8-23=
8954、四则运算题目8954: 57-49+73=
8955、四则运算题目8955: 11+10=
8956、四则运算题目8956: 2+7=
8957、四则运算题目8957: 9+60+40=
8958、四则运算题目8958: 62+72-76=
8959、四则运算题目8959: 96+0-43=
8960、四则运算题目8960: 71+61=
8961、四则运算题目8961: 96-17=
8962、四则运算题目8962: 77+15=
8963、四则运算题目8963: 89+95=
8964、四则运算题目8964: 99-63+61=
8965、四则运算题目8965: 52+37=
8966、四则运算题目8966: 15+51=
8967、四则运算题目8967: 34+34=
8968、四则运算题目8968: 66-37-18=
8969、四则运算题目8969: 11+39=
8970、四则运算题目8970: 67+72=
8971、四则运算题目8971: 31-30=
8972、四则运算题目8972: 57-32=
8973、四则运算题目8973: 6+7=
8974、四则运算题目8974: 52+18=
8975、四则运算题目8975: 83+40+59=
8976、四则运算题目8976: 65+50=
8977、四则运算题目8977: 52+95-52=
8978、四则运算题目8978: 53-53=
8979、四则运算题目8979: 19+96+25=
8980、四则运算题目8980: 36+35=
